ds,y
"2023-04-28T09:13:06.445159708",1437727
"2023-04-28T09:13:06.503294562",1723818
"2023-04-28T09:13:06.575109200",1159148
"2023-04-28T09:13:11.444677237",384096
"2023-04-28T09:13:11.502419704",1249673
"2023-04-28T09:13:11.575752679",97745
"2023-04-28T09:13:16.502474917",767492
"2023-04-28T09:13:16.444775190",1437691
"2023-04-28T09:13:16.576897399",767640
"2023-04-28T09:13:21.502917315",383924
"2023-04-28T09:13:21.467092821",571994
"2023-04-28T09:13:21.574837738",97745
